X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
73.899,42.4236,train,0.021212831397819147,48.884943506076766,0.44161137753675084
31.9863,-31.4955,train,0.01456214550716547,25.06110912433114,0.3518754100614123
75.5176,40.162,train,0.12172090277601745,100.0,0.8194313478403414
9.177,40.6294,train,0.4880793869341368,100.0,0.9479080412568875
10.7649,37.8912,train,0.5896743351298398,100.0,0.9564924845692635
113.0814,60.9084,train,0.036281990766476056,71.89733769059332,0.5749534346408668
74.5215,42.7568,train,0.029627351948948003,68.13568644371577,0.5248462225889194
9.6866,41.3584,train,0.021858780921417336,50.04760587183513,0.4490206492063803
100.5848,59.3909,train,2.1413465277750605,100.0,0.9876290838300467
33.1676,-20.9211,train,0.02938803807931633,67.13965763126046,0.5228232669093291
74.7289,39.9446,train,0.12132478453427444,100.0,0.8189485400341644
94.399,47.1872,train,0.11492885778913496,100.0,0.8107793481043247
19.7184,43.5586,train,0.020457454770328894,47.562902351396446,0.4326901319556667
87.7626,47.4152,train,0.03924068841554009,72.62004181933032,0.5939895933180703
44.9984,50.5598,train,0.01870068525366892,41.62769675071831,0.4107971448812878
75.7708,40.196,train,0.05872357677805535,82.30708142727649,0.6864576564061203
33.3698,-20.9153,train,0.027620453317355683,63.72455251057738,0.5073308222152031
35.5368,53.7315,train,0.020766543420971065,48.103961785536384,0.4363748040807813
-26.5641,-44.6863,train,0.013949977554347652,24.37943063286589,0.34214424541949506
80.8484,53.4448,train,0.011292314310246469,7.627623501837691,0.296273071900511
8.8838,40.6748,train,0.4880793869341368,100.0,0.9479080412568875
