x,y,insect.M.distribution70t1.1_PA1_RUN1 logistic values
-54.1515,36.6608,0.5
-54.1515,36.6608,0.5
-168.9006,-56.5336,0.5
-151.3,81.3,0.5
-109.3,79.9,0.5
-87.9,79.7,0.5
173.7,79.1,0.5
-174.3,77.9,0.5
-152.7,77.9,0.5
-130.1,77.9,0.5
-0.299999999999983,72.7,0.5
-8.09999999999999,69.1,0.5
-15.5,68.7,0.5
-4.89999999999998,66.5,0.5
5.90000000000001,64.3,0.5
0.5,63.5,0.5
-13.3,60.3,0.5
-34.3,58.3,0.5
67.5,57.1,0.5
-42.5,54.3,0.5
-3.89999999999998,50.5,0.5
-43.5,45.7,0.5
69.5,45.7,0.5
12.9,44.7,0.5
2.90000000000001,41.1,0.5
39.5,41.1,0.5
41.1,39.9,0.5
57.3,39.1,0.5
16.3,30.7,0.5
-2.29999999999998,30.1,0.5
103.3,28.3,0.5
74.1,27.5,0.5
84.5,26.5,0.5
29.7,24.5,0.5
-3.5,23.5,0.5
49.1,20.9,0.5
7.5,20.3,0.5
39.9,16.5,0.5
15.3,15.9,0.5
43.5,12.3,0.5
10.3,11.1,0.5
80.3,10.9,0.5
14.9,10.3,0.5
23.9,10.3,0.5
0.700000000000017,10.1,0.5
-16.7,9.3,0.5
-14.9,9.09999999999999,0.5
-16.1,8.3,0.5
39.7,8.3,0.5
-18.1,7.3,0.5
19.5,6.3,0.5
35.9,6.3,0.5
12.5,5.09999999999999,0.5
-8.09999999999999,3.89999999999999,0.5
30.3,0.299999999999997,0.5
-46.9,-0.5,0.5
41.9,-0.700000000000003,0.5
-37.1,-1.30000000000001,0.5
-36.9,-2.10000000000001,0.5
51.9,-3.5,0.5
-25.1,-7.10000000000001,0.5
2.70000000000002,-8.30000000000001,0.5
-49.3,-9.10000000000001,0.5
30.3,-9.90000000000001,0.5
36.9,-12.1,0.5
60.7,-13.1,0.5
-34.9,-14.3,0.5
-54.3,-15.3,0.5
-36.3,-15.3,0.5
-43.5,-16.1,0.5
8.5,-17.5,0.5
4.90000000000001,-18.5,0.5
58.1,-19.5,0.5
9.10000000000002,-20.1,0.5
16.3,-20.3,0.5
-28.7,-22.7,0.5
8.70000000000002,-23.5,0.5
62.9,-24.1,0.5
56.5,-24.7,0.5
7.70000000000002,-24.9,0.5
57.5,-27.9,0.5
-54.7,-30.5,0.5
35.9,-32.7,0.5
-36.7,-33.9,0.5
38.7,-35.1,0.5
9.5,-38.9,0.5
141.3,-48.9,0.5
101.3,-49.3,0.5
131.7,-49.7,0.5
109.9,-52.1,0.5
103.7,-52.7,0.5
141.5,-56.1,0.5
146.7,-56.5,0.5
136.9,-58.9,0.5
110.1,-60.3,0.5
145.1,-60.3,0.5
120.1,-69.5,0.5
119.1,-70.7,0.5
118.3,-70.9,0.5
23.1,-77.1,0.5
8.30000000000001,-80.1,0.5
35.7,-80.1,0.5
58.7,-80.5,0.5
